APYGARDOS_NR,APYGARDOS_PAVADINIMAS,APYLINKES_NR,APYLINKES_PAVADINIMAS,RINKEJU_SKAICIUS,VISO_DALYVAVO,BALSADEZEJE_GALIOJANTYS,BALSADEZEJE_NEGALIOJANTYS,PASTU_GALIOJANTYS,PASTU_NEGALIOJANTYS,VARDAS,PAVARDE,PARTIJA,BALSU_BALSADEZEJE,BALSU_PASTU,BALSU_VISO,PAPILDOMO_PROTOKOLO_POZYMIS,RKND_V_AR_ISSIKELE_PATS,RPL_UNIKALUS_NUMERIS,SAV,Sugeneravimo data
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,VYTENIS POVILAS,ANDRIUKAITIS,,41,8,49,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,ARVYDAS,JUOZAITIS,,30,1,31,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,MINDAUGAS,PUIDOKAS,,18,0,18,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,VALENTINAS,MAZURONIS,,11,1,12,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,NAGLIS,PUTEIKIS,,7,1,8,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,VALDEMAR,TOMAŠEVSKI,,2,0,2,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,16,Papilės,1160,611,522,4,77,8,SAULIUS,SKVERNELIS,,184,31,215,,T,1016,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,16,Papilės,1160,611,522,4,77,8,GITANAS,NAUSĖDA,,163,20,183,,T,1016,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,16,Papilės,1160,611,522,4,77,8,INGRIDA,ŠIMONYTĖ,,101,19,120,,T,1016,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,16,Papilės,1160,611,522,4,77,8,VYTENIS POVILAS,ANDRIUKAITIS,,28,2,30,,T,1016,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,16,Papilės,1160,611,522,4,77,8,ARVYDAS,JUOZAITIS,,21,2,23,,T,1016,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,16,Papilės,1160,611,522,4,77,8,MINDAUGAS,PUIDOKAS,,15,2,17,,T,1016,Akmenės rajono savivaldybė,2019-05-16 15:45
